pair,w_alt,sample,alpha,N,lam,se_lam,logll,sig2,utu,beta,se_beta
Pair A,W_bank_bin,Full,0.6000000000000001,886,0.9984168294708916,0.0005617274029223122,-53563.67511449803,0.2911424517974863,12254.395513048283,2.321531486129451,0.01854251668706873
Pair A,W_bank_bin,Full,0.65,886,0.9979637171606655,0.0006381318320913659,-53306.00341943041,0.26668606063706496,12167.169524660005,2.3105287223888658,0.018517930236665505
Pair A,W_bank_bin,Full,0.7000000000000001,886,0.9968398193315846,0.000840677197693366,-53104.96299613645,0.24583627618231824,12107.439261488602,2.3001494818900987,0.018479457474282333
Pair A,W_bank_bin,Full,0.75,886,0.992846759790368,0.0015503323547010263,-52977.47912048736,0.22917884250971057,12072.605491273152,2.291662965927302,0.018420158379428606
Pair A,W_bank_bin,Full,0.8,886,0.9727545410863795,0.003434254096942548,-52929.012058360226,0.22002060816282915,12041.545760226101,2.2895204573212617,0.01829507411958097
Pair A,W_bank_bin,Full,0.8500000000000001,886,0.9366123336399396,0.0039245519257145945,-52927.76053540799,0.21738857620820248,11886.511015036565,2.293036002918052,0.018090456411298753
Pair A,W_bank_bin,Full,0.9,886,0.8983783460553756,0.0038796892982231146,-52950.42154969279,0.21702400497732988,11786.502780784038,2.298101927594652,0.017865172536469447
Pair A,W_bank_bin,Full,0.9500000000000001,886,0.8611355195554796,0.00374563639058651,-52988.23664023559,0.21785135694928556,11739.42757825448,2.303914707444913,0.017632758745720966
Pair A,W_bank_bin,Full,1.0,886,0.8256188588056059,0.0035934347280527214,-53036.27398660672,0.21947394685530172,11713.780584232358,2.310033546399968,0.01739934260772954
Pair B,W_bank_count,Full,0.0,886,0.9856345177471341,0.002376645650437786,-57797.948102877825,0.8301314612001092,471835.7613861847,2.4108261511875577,0.017943487755382872
Pair B,W_bank_count,Full,0.05,886,0.9876983839865274,0.0021142497585923924,-57431.64651209284,0.7673652980036882,535966.3683641218,2.406804900653117,0.017974086778105837
Pair B,W_bank_count,Full,0.1,886,0.9861976333013389,0.002435958311463944,-57066.92371860995,0.7089815852783401,322771.97979173315,2.402399703993304,0.018001615128384083
Pair B,W_bank_count,Full,0.15000000000000002,886,0.9855428834505452,0.0026111817028879646,-56701.49986255862,0.6537335757881821,209581.06696961477,2.3975175378205265,0.01803456237091344
Pair B,W_bank_count,Full,0.2,886,0.985824684536018,0.0026212266884911087,-56334.5795439692,0.6014310748172661,141600.39285018016,2.3920612895691886,0.01807354852328141
Pair B,W_bank_count,Full,0.25,886,0.9871686942343475,0.002441482236336384,-55966.05531010254,0.551944411223454,94863.40411132666,2.38589454225981,0.01811995454121276
Pair B,W_bank_count,Full,0.30000000000000004,886,0.9901568025588243,0.001967058014078386,-55596.1051432075,0.505053010329933,57633.58202264577,2.378759061162246,0.018177900558301072
Pair B,W_bank_count,Full,0.35000000000000003,886,0.995339857207807,0.001089816066474152,-55224.872192701754,0.4603513045482369,26124.89752941885,2.370333127637309,0.01824722751674624
Pair B,W_bank_count,Full,0.4,886,0.9973272403948464,0.0007567734637225321,-54856.134058922034,0.4191606349776036,17379.69847598457,2.3617939015330296,0.018288585444184904
Pair B,W_bank_count,Full,0.45,886,0.9980349262582484,0.0006419325933157694,-54496.19433367042,0.38154991069361666,14831.36901999023,2.3527767848166534,0.018319960096196117
Pair B,W_bank_count,Full,0.5,886,0.9983440383366259,0.000591294090363315,-54150.83363345451,0.34736818204740344,13709.441057768097,2.343126445729227,0.018346358766941056
Pair B,W_bank_count,Full,0.55,886,0.9984058197765251,0.0005788069839121668,-53827.11019725687,0.3165911506754657,13114.67287361797,2.3329143250662607,0.01836715046692602
Pair B,W_bank_count,Full,0.6000000000000001,886,0.9982181370776835,0.0006056128090397049,-53534.04264572937,0.2892255732099022,12767.332070427552,2.3223414147138755,0.018380383111163367
Pair B,W_bank_count,Full,0.65,886,0.9976391809368219,0.000698026807192492,-53283.09987495427,0.26531198909612635,12560.47354236184,2.311771424139551,0.01838317528745854
Pair B,W_bank_count,Full,0.7000000000000001,886,0.9960650726891384,0.0009636604826287603,-53088.49304688474,0.24500940990412953,12466.109352172965,2.301861340482786,0.018370793037427925
Pair B,W_bank_count,Full,0.75,886,0.9896794357717821,0.0019742456485416855,-52965.43878677043,0.22928912560289622,12615.652272330613,2.2944562799920507,0.018326083114379603
Pair B,W_bank_count,Full,0.8,886,0.9668093180754029,0.0036437038694522063,-52913.91515548942,0.22081041827339712,12826.0936322137,2.2933031267260207,0.01819631525224477
Pair B,W_bank_count,Full,0.8500000000000001,886,0.9336021116589773,0.003956704646651082,-52911.045942669836,0.2173817811716057,12258.49219177798,2.2954912186073857,0.01801692067983122
Pair B,W_bank_count,Full,0.9,886,0.896986598149939,0.003892426825008412,-52937.04650953613,0.21676998224796418,11904.657749807158,2.2995383543379586,0.017818323922383854
Pair B,W_bank_count,Full,0.9500000000000001,886,0.8606057836414479,0.003751047298292054,-52980.78244654622,0.21765025478237812,11767.733335489014,2.3045703761970504,0.01761033384274677
Pair B,W_bank_count,Full,1.0,886,0.8256188588056059,0.0035934347280527214,-53036.27398660672,0.21947394685530172,11713.780584232358,2.310033546399968,0.01739934260772954
Pair C,W_bank_nonGeo,Full,0.0,876,0.978787350544767,0.004109599830125344,-57848.999732944845,0.9766698424740633,50613.547012312214,2.425420289145782,0.01850385604337777
Pair C,W_bank_nonGeo,Full,0.05,876,0.9858990511285802,0.002832886745278203,-57459.00743592534,0.8999490164082379,61263.636118059105,2.4210845642537615,0.018531110145651446
Pair C,W_bank_nonGeo,Full,0.1,876,0.9897870136037676,0.0021435627861182056,-57064.43628839874,0.8271633575707541,65774.02823088839,2.4163817275538437,0.018555400437247894
Pair C,W_bank_nonGeo,Full,0.15000000000000002,876,0.9923455303819532,0.0016997841884893886,-56666.31084943993,0.7583332219714659,65858.83326114892,2.4112357148088845,0.018580071646994153
Pair C,W_bank_nonGeo,Full,0.2,876,0.9941834662734069,0.0013874577758827683,-56265.401609051994,0.6934837697585414,62309.6088048706,2.4055573956667122,0.018606192700073722
Pair C,W_bank_nonGeo,Full,0.25,876,0.9955712888557241,0.0011550512744382818,-55862.5408781907,0.6326141306549309,56172.285561819386,2.3992746501597413,0.01863394250284076
Pair C,W_bank_nonGeo,Full,0.30000000000000004,876,0.9966408261284359,0.0009772941445596087,-55458.82005649147,0.5757095701910712,48795.44180392685,2.392336316308806,0.01866283175754408
Pair C,W_bank_nonGeo,Full,0.35000000000000003,876,0.9974602165872803,0.0008411170560559024,-55055.828741349345,0.5227558516195201,41452.10920675966,2.3847066254366913,0.01869189713539838
Pair C,W_bank_nonGeo,Full,0.4,876,0.9980701366312589,0.0007387128872524131,-54655.93887341414,0.47374728492991475,34988.678613414995,2.3763607608350066,0.01871991590394341
Pair C,W_bank_nonGeo,Full,0.45,876,0.9984985960839806,0.0006646904296285739,-54262.61490707701,0.4286879793048338,29750.033135993595,2.3672903543211574,0.01874552887116964
Pair C,W_bank_nonGeo,Full,0.5,876,0.9987630515140831,0.0006156992049785623,-53880.75610425647,0.3875897048479307,25721.355512714938,2.3575209478959946,0.01876723005590547
Pair C,W_bank_nonGeo,Full,0.55,876,0.9988666663834018,0.0005911998279037144,-53517.10005835729,0.3504695221238676,22714.937959762625,2.3471396197835652,0.018783275509041106
Pair C,W_bank_nonGeo,Full,0.6000000000000001,876,0.9987881287794497,0.0005954947176269785,-53180.71712615706,0.3173498057598866,20502.306479104613,2.3363317682009423,0.01879157787884271
Pair C,W_bank_nonGeo,Full,0.65,876,0.9984500835173934,0.0006439246209312896,-52883.60732694042,0.2882651407687501,18879.50518199015,2.325428571278505,0.018789605055123688
Pair C,W_bank_nonGeo,Full,0.7000000000000001,876,0.9975948539389019,0.0007867355965159623,-52641.35283470263,0.2632940142066713,17689.16468632192,2.314980326508865,0.018774109708929034
Pair C,W_bank_nonGeo,Full,0.75,876,0.9950533584577768,0.0012395414679692385,-52473.34787252614,0.24274613440893605,16819.85624006376,2.3060089349140203,0.018739014806405767
Pair C,W_bank_nonGeo,Full,0.8,876,0.9834554528345716,0.0028297645641620892,-52397.14325943826,0.22847868713469838,15891.318064580326,2.301711827286898,0.018656905545598988
Pair C,W_bank_nonGeo,Full,0.8500000000000001,876,0.9497915388199877,0.003924911218745417,-52397.100585621265,0.22339699757341866,13514.099080169122,2.3059763635978734,0.01847206020800745
Pair C,W_bank_nonGeo,Full,0.9,876,0.9053206676027674,0.003971697859981278,-52427.70502056176,0.22346942552821114,12191.210358493398,2.3129838387860584,0.018222029567283866
Pair C,W_bank_nonGeo,Full,0.9500000000000001,876,0.862682468296814,0.003828024178097562,-52470.224331088524,0.22463051689987132,11836.103504313163,2.3196630844786217,0.017960564034282405
Pair C,W_bank_nonGeo,Full,1.0,876,0.8230526509498935,0.003652756134502271,-52520.52110305818,0.22636182741364103,11716.485846502084,2.3260647347434458,0.017698842015069015
Pair A,W_bank_bin,Non-border,0.0,629,0.9851013314311283,0.002920706472323863,-39990.45038480439,0.8604195425555974,44627.88317956605,2.4989606268359386,0.022428660185731166
Pair A,W_bank_bin,Non-border,0.05,629,0.9923485707190314,0.0016284025803451293,-39722.70208616109,0.7914188234988542,167443.5999697626,2.4927740392134887,0.022597572019807673
Pair A,W_bank_bin,Non-border,0.1,629,0.9927415044576711,0.0016610835626494618,-39454.753923683325,0.7282594004563598,95949.47591476422,2.4854141295477983,0.022784571814813477
Pair A,W_bank_bin,Non-border,0.15000000000000002,629,0.9937456831331184,0.0015592956124891259,-39186.11079242816,0.6685427064575589,54981.80943086869,2.4771017414628766,0.023008044431888686
Pair A,W_bank_bin,Non-border,0.2,629,0.9951644664314709,0.00136127782228889,-38915.854065255735,0.6120466307609086,34671.25611462538,2.4675810463504995,0.023268389975892645
Pair A,W_bank_bin,Non-border,0.25,629,0.9964872829326278,0.001168140102563399,-38644.338575060094,0.5588943905443168,24335.97461413791,2.4565274427277894,0.023567944159041673
Pair A,W_bank_bin,Non-border,0.30000000000000004,629,0.9975334154609755,0.00101624224980152,-38372.6183811927,0.5091884411022789,18826.39691585741,2.4434923433677826,0.023913323411066077
Pair A,W_bank_bin,Non-border,0.35000000000000003,629,0.998313438758692,0.0009039612789340926,-38102.2409376139,0.4629683794214896,15678.71241911396,2.42792333904368,0.024314308609694312
Pair A,W_bank_bin,Non-border,0.4,629,0.998869527597391,0.0008232462925607901,-37835.28793355254,0.4202432865977834,13756.205042384012,2.4091445836986907,0.0247827414415609
Pair A,W_bank_bin,Non-border,0.45,629,0.999231428830405,0.0007684194763943599,-37574.52707923845,0.3810095366965112,12519.055326630927,2.386313698080697,0.02533231868519736
Pair A,W_bank_bin,Non-border,0.5,629,0.9994105957518108,0.000737387419709678,-37323.61572161818,0.34525664963655567,11695.775136654576,2.358379759420817,0.025978385505363185
Pair A,W_bank_bin,Non-border,0.55,629,0.9993966429499351,0.0007323560595900742,-37087.35125162828,0.31297035240317544,11142.877748676372,2.324060787072691,0.026737031798528738
