sample,estimator,kernel,cutoff_km,meat_psd_clip_pct,beta,se,ci_lower,ci_upper,ci_width,t_stat,p_value,B_state,B_spatial_band,B_overlap_band,frac_same_state_band
Full,Spatial HAC binary_band_binary_knn4,binary_band,,0.0,0.0253247639048175,0.005278769832620515,0.01497837503288129,0.03567115277675371,0.020692777743872418,4.797474545740071,1.6067862045886743e-06,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,Spatial HAC cosine,cosine,,0.0,0.0253247639048175,0.00469949859774973,0.01611374665322803,0.03453578115640697,0.018422034503178943,5.388822526076251,7.092079650657305e-08,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,State + Spatial HAC binary_band,two_way_binary_band,,0.0,0.0253247639048175,0.011048341415329503,0.0036700147307716716,0.046979513078863326,0.043309498348091655,2.2921778892241282,0.02189538029487002,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,State + Spatial HAC binary_band_knn3,two_way_binary_band_knn3,,0.0,0.0253247639048175,0.010783620740327236,0.004188867253776117,0.04646066055585888,0.042271793302082764,2.348447197341716,0.018851871944202965,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,State + Spatial HAC binary_band_knn4,two_way_binary_band_knn4,,0.0,0.0253247639048175,0.010810348857607349,0.004136480143907096,0.046513047665727905,0.04237656752182081,2.3426407638081184,0.019147809508418163,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,State + Spatial HAC binary_band_count_knn3,two_way_binary_band_count_knn3,,0.0,0.0253247639048175,0.01079525646495597,0.004166061233503798,0.0464834665761312,0.0423174053426274,2.345915911032577,0.018980389061263574,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,State + Spatial HAC binary_band_count_knn4,two_way_binary_band_count_knn4,,0.0,0.0253247639048175,0.01079789956597548,0.00416088075550556,0.04648864705412944,0.04232776629862388,2.3453416796556086,0.019009650012278938,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,State + Spatial HAC binary_band_binary_knn3,two_way_binary_band_binary_knn3,,0.0,0.0253247639048175,0.01079525646495597,0.004166061233503798,0.0464834665761312,0.0423174053426274,2.345915911032577,0.018980389061263574,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Full,State + Spatial HAC binary_band_binary_knn4,two_way_binary_band_binary_knn4,,0.0,0.0253247639048175,0.01079789956597548,0.00416088075550556,0.04648864705412944,0.04232776629862388,2.3453416796556086,0.019009650012278938,2979.846747460781,1537.3048027113593,1378.0977928002023,0.06024634206828139
Contig,State clustering (Favara-Imbs),cluster,,0.0,0.037708871910715244,0.010726944481029583,0.016684060727897264,0.058733683093533225,0.04204962236563596,3.5153413889111422,0.00043918901760718935,223.24294843633047,325.46632891586125,186.82753930632887,0.08951071837669776
