model,sample,w_matrix,beta,se_beta,z_beta,p_beta,lam,se_lam,z_lam,p_lam,n_co,n_obs,lam_geo,se_lam_geo,p_lam_geo,n_co_geo,n_obs_geo,gap_vs_geo,se_gap,z_gap,p_gap_onesided
FE W_bank_nonGeo (full),Full,W_bank_nonGeo,0.017305893406015644,0.004688498570512828,3.691137609565854,0.0002232533069428236,0.5198338044227102,0.045582268026704814,11.40429879702696,3.979710759117672e-30,870,9570,0.1871983508864951,0.010924119669657355,7.963503023386016e-66,870,9570,0.3326354535362151,0.04687301514747425,7.096523500561263,6.396710051403559e-13
FE W_bank_interstate (full),Full,W_bank_interstate,0.016765546068697765,0.004045057379927643,4.144699195589078,3.4026006769051156e-05,0.3146149477616828,0.06385603663098015,4.9269413568496585,8.352681013230279e-07,853,9383,0.1864321740040172,0.010993662859224883,1.675393306085235e-64,853,9383,0.1281827737576656,0.06479547852496638,1.9782672599335065,0.02394928226161285
FE W_bank_intrastate (full),Full,W_bank_intrastate,0.029923934236788505,0.006010666960688749,4.978471512811881,6.408837382569519e-07,0.34863158592784704,0.01752610097715575,19.892136099310846,4.760352103147097e-88,876,9636,0.18566386968653675,0.010959627050466839,2.253857591024937e-64,876,9636,0.1629677162413103,0.020670695211985113,7.883997832197713,1.585348942884635e-15
FE W_geo (contig),Contig,W_geo,0.036560362947083126,0.0069160094380418344,5.286337919954408,1.2478928109183225e-07,0.1134973985870008,0.02203401083579195,5.151009474981111,2.590880976437176e-07,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,,,,
FE W_bank (contig),Contig,W_bank,0.028044087375659,0.007412630001923267,3.783284390072448,0.00015477240055373397,0.3526284152961422,0.05159938265586133,6.83396577916395,8.259873645612623e-12,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,0.2391310167091414,0.0561069864096959,4.262054193447413,1.0127815171904541e-05
FE W_bank_count (contig),Contig,W_bank_count,0.02832911495685169,0.007452651178896889,3.8012130551701,0.00014398942254519804,0.37049117646833274,0.047764284965942434,7.7566570238098524,8.71973285261024e-15,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,0.25699377788133193,0.05260156415753767,4.885667983401695,5.153938829927112e-07
FE W_bank_binary (contig),Contig,W_bank_binary,0.03554249255913772,0.006556720190495888,5.420773119258215,5.934183439014592e-08,0.12282517240665491,0.08509736534960174,1.443348708882557,0.1489222649693482,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,0.00932777381965412,0.08790369288576787,0.1061135603458173,0.45774612614591326
FE W_bank_knn3 (contig),Contig,W_bank_knn3,0.04031612082876931,0.007217888010036698,5.585584144933876,2.329159780794278e-08,0.15752695405444156,0.02118105657850211,7.437162233650084,1.028711850965156e-13,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,0.044029555467440765,0.030563618753241647,1.4405871183945091,0.07485068089044902
FE W_bank_knn4 (contig),Contig,W_bank_knn4,0.03783466023997339,0.007106009347031089,5.32431895206848,1.0133197019728597e-07,0.13754028861193796,0.02253628748368316,6.103058842833833,1.0405751060701283e-09,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,0.02404289002493716,0.031517961340464445,0.762831382563745,0.22278198126706583
FE W_bank_count_knn3 (contig),Contig,W_bank_count_knn3,0.04014552821871704,0.0072649623400159345,5.525910024005573,3.277820950087273e-08,0.1646508598915407,0.020849330829610248,7.897177191783217,2.852906654213001e-15,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,0.05115346130453992,0.030334670421060018,1.6863035132574355,0.04586867735702112
FE W_bank_count_knn4 (contig),Contig,W_bank_count_knn4,0.03778843859085075,0.007158136075440782,5.279089164077371,1.2982762168755336e-07,0.14602728323951353,0.022161065960918266,6.589361878938369,4.4172094469818323e-11,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,0.03252988465251273,0.03125076763914716,1.0409307389864964,0.14895384709087173
FE W_bank_binary_knn3 (contig),Contig,W_bank_binary_knn3,0.04028420237448063,0.00723634268572838,5.56692850573947,2.5926870697603586e-08,0.16137204313435605,0.021488601417313513,7.5096577948687475,5.92821230805309e-14,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,0.04787464454735525,0.030777550656021432,1.5555053448669698,0.05991288131294358
FE W_bank_binary_knn4 (contig),Contig,W_bank_binary_knn4,0.037508655510950714,0.0070965577951041135,5.285471716559229,1.2538124455900777e-07,0.13690629516166897,0.023093007212671317,5.928474100443159,3.057626268440529e-09,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,0.023408896574668173,0.03191840559358012,0.7333980548005976,0.23165784263270317
FE W_bank_nonGeo (contig),Contig,W_bank_nonGeo,0.029394047367860228,0.006701771922187652,4.386011298078488,1.154481273146137e-05,0.1682082228865591,0.060637640960340126,2.7739902183294896,0.005537334312719305,236,2596,0.11855763771923253,0.02202126385858938,7.29376843216429e-08,236,2596,0.049650585167326566,0.06451247602723627,0.769627647625318,0.22076039993482904
FE W_bank_interstate (contig),Contig,W_bank_interstate,0.022047532318127304,0.006386032679769525,3.452461555352236,0.0005554966283671002,0.268921474447162,0.06041568567046395,4.451186334522269,8.539720020094158e-06,233,2563,0.10620655194408332,0.022139539429115708,1.6094414822413634e-06,233,2563,0.1627149225030787,0.06434449689884654,2.5288086836528763,0.0057225197323799845
FE W_bank_intrastate (contig),Contig,W_bank_intrastate,0.03918736042709848,0.007414785259628223,5.285029714948661,1.256843544408971e-07,0.1471433711318925,0.027631548848337257,5.325194470260285,1.0084508956116718e-07,238,2618,0.1134973985870008,0.02203401083579195,2.590880976437176e-07,238,2618,0.0336459725448917,0.035341195866436734,0.9520326553761307,0.17054021043985096
FE W_geo (noncontig),NonContig,W_geo,0.02389673612589476,0.005939946278110171,4.0230559346906505,5.7447846010575276e-05,0.20118665943236144,0.01205213809440837,16.693026403813167,1.473103062286835e-62,639,7029,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,,,,
FE W_bank (noncontig),NonContig,W_bank,0.018120657239765275,0.006174959637652494,2.934538572409863,0.0033404403167688695,0.6127513294802596,0.0401522444319027,15.26069932452897,1.3974259654358992e-52,639,7029,0.20118665943236144,0.01205213809440837,1.473103062286835e-62,639,7029,0.4115646700478981,0.041922031982788606,9.817383618639214,4.738564275372841e-23
