k,n_links,possible_links,density,sparsity,avg_nbrs,lam_geo,se_lam_geo,lam_bank_knn,gap,lam_bank_count_knn,gap_count,lam_bank_binary_knn,gap_binary,n_co,n_obs,lam_geo_contig,se_lam_geo_contig,lam_bank_knn_contig,gap_contig,lam_bank_count_knn_contig,gap_count_contig,lam_bank_binary_knn_contig,gap_binary_contig,n_co_contig,n_obs_contig,lam_geo_noncontig,se_lam_geo_noncontig,lam_bank_knn_noncontig,gap_noncontig,lam_bank_count_knn_noncontig,gap_count_noncontig,lam_bank_binary_knn_noncontig,gap_binary_noncontig,n_co_noncontig,n_obs_noncontig
11,10734,1045506,0.010266799042760157,0.9897332009572398,10.49266862170088,0.18562585100355503,0.010950822589230334,0.38262374584337683,0.1969978948398218,0.39046911928393113,0.2048432682803761,0.37980808567871605,0.19418223467516102,877,9647,0.1134973985870008,0.02203401083579195,0.16287555175618484,0.04937815316918405,0.17800185134903027,0.06450445276202947,0.16242009346852146,0.048922694881520665,238,2618,0.20118665943236144,0.01205213809440837,0.36597493399353415,0.1647882745611727,0.37418833259088113,0.1730016731585197,0.36258428270971077,0.16139762327734933,639,7029
12,11686,1045506,0.011177362922833537,0.9888226370771664,11.423264907135875,0.18562585100355503,0.010950822589230334,0.3903196334339874,0.20469378243043237,0.39546430361593277,0.20983845261237774,0.39204728081825796,0.20642142981470293,877,9647,0.1134973985870008,0.02203401083579195,0.15395568119347722,0.04045828260647642,0.16823643219789458,0.054739033610893786,0.15417374478991122,0.04067634620291043,238,2618,0.20118665943236144,0.01205213809440837,0.3686781086118883,0.16749144917952688,0.3717346600233395,0.17054800059097805,0.3673054675444196,0.16611880811205817,639,7029
13,12636,1045506,0.012086013853579032,0.987913986146421,12.351906158357771,0.18562585100355503,0.010950822589230334,0.4033742665872502,0.21774841558369515,0.4095355275412802,0.22390967653772517,0.40736081436164895,0.22173496335809392,877,9647,0.1134973985870008,0.02203401083579195,0.15858311782567108,0.04508571923867029,0.1734009602354819,0.05990356164848111,0.1583357223270379,0.044838323740037114,238,2618,0.20118665943236144,0.01205213809440837,0.3808612584906843,0.17967459905832286,0.38249417048998313,0.1813075110576217,0.3834085767480849,0.18222191731572343,639,7029
14,13583,1045506,0.0129917953603327,0.9870082046396673,13.27761485826002,0.18562585100355503,0.010950822589230334,0.4097466858433068,0.2241208348397518,0.41758783924505277,0.23196198824149775,0.4136317277457286,0.22800587674217357,877,9647,0.1134973985870008,0.02203401083579195,0.20278794665596264,0.08929054806896185,0.22908511650218272,0.11558771791518192,0.21364061937462883,0.10014322078762804,238,2618,0.20118665943236144,0.01205213809440837,0.38937562937752324,0.1881889699451618,0.38990965236717273,0.1887229929348113,0.39476255817033795,0.1935758987379765,639,7029
15,14529,1045506,0.013896620392422425,0.9861033796075775,14.20234604105572,0.18562585100355503,0.010950822589230334,0.41810240985932584,0.23247655885577082,0.4241271885104385,0.2385013375068835,0.4263511235643381,0.24072527256078305,877,9647,0.1134973985870008,0.02203401083579195,0.19079152755170836,0.07729412896470757,0.21293866130866684,0.09944126272166605,0.19767946384228585,0.08418206525528506,238,2618,0.20118665943236144,0.01205213809440837,0.4057589486190374,0.20457228918667594,0.40263676991924213,0.2014501104868807,0.42244791353482547,0.22126125410246403,639,7029
16,15474,1045506,0.014800488949848208,0.9851995110501518,15.126099706744869,0.18562585100355503,0.010950822589230334,0.42356918791024956,0.23794333690669453,0.42939368694117597,0.24376783593762094,0.433322846781133,0.24769699577757795,877,9647,0.1134973985870008,0.02203401083579195,0.19656342583680514,0.08306602724980434,0.20794102508012252,0.09444362649312173,0.20819016640322943,0.09469276781622864,238,2618,0.20118665943236144,0.01205213809440837,0.4113742825277317,0.21018762309537029,0.4089710504611312,0.20778439102876975,0.42887150029270316,0.22768484086034171,639,7029
17,16417,1045506,0.015702444557946105,0.9842975554420539,16.047898338220918,0.18562585100355503,0.010950822589230334,0.43457380589522854,0.2489479548916735,0.439322721495158,0.25369687049160294,0.4445397841455156,0.25891393314196054,877,9647,0.1134973985870008,0.02203401083579195,0.1949042909862371,0.0814068923992363,0.2061033938636279,0.09260599527662709,0.20316332698951856,0.08966592840251776,238,2618,0.20118665943236144,0.01205213809440837,0.42354139531593954,0.2223547358835781,0.4194005325138635,0.21821387308150206,0.44111780152068103,0.2399311420883196,639,7029
18,17357,1045506,0.016601530742052173,0.9833984692579478,16.96676441837732,0.18562585100355503,0.010950822589230334,0.4454290934290101,0.25980324242545505,0.44922040891607745,0.2635945579125224,0.45954935648246864,0.27392350547891364,877,9647,0.1134973985870008,0.02203401083579195,0.20301725556649095,0.08951985697949015,0.2112689719831086,0.0977715733961078,0.21385221269741236,0.10035481411041157,238,2618,0.20118665943236144,0.01205213809440837,0.4349237599375083,0.23373710050514687,0.43081215475607754,0.2296254953237161,0.4560665154754593,0.2548798560430978,639,7029
19,18292,1045506,0.01749583455283853,0.9825041654471615,17.880742913000976,0.18562585100355503,0.010950822589230334,0.4542084263040945,0.26858257530053953,0.4556198217784234,0.2699939707748684,0.4728771311601095,0.28725128015655443,877,9647,0.1134973985870008,0.02203401083579195,0.2096846826278912,0.0961872840408904,0.21515641944356617,0.10165902085656538,0.22617690935724802,0.11267951077024722,238,2618,0.20118665943236144,0.01205213809440837,0.44507341943432815,0.2438867600019667,0.4388945430043213,0.23770788357195985,0.4709339738710846,0.26974731443872313,639,7029
20,19227,1045506,0.018390138363624887,0.9816098616363751,18.794721407624632,0.18562585100355503,0.010950822589230334,0.45518050387140535,0.2695546528678503,0.45859681301769384,0.27297096201413884,0.4716174248204068,0.2859915738168518,877,9647,0.1134973985870008,0.02203401083579195,0.2115091936288477,0.09801179504184691,0.21787431310699645,0.10437691451999566,0.22834340148118165,0.11484600289418086,238,2618,0.20118665943236144,0.01205213809440837,0.4461036470353146,0.24491698760295313,0.44259284529002935,0.2414061858576679,0.4687053597587327,0.26751870032637126,639,7029
