sample,alpha,N,n_obs,lam,se_lam,logll,sig2,utu,beta_D,se_beta_D,beta_Deta,se_beta_Deta
Non-border,0.5,615,6765,0.993608836670129,0.0024181918614579983,-13924.906485275744,0.0004493208426692905,9.609444818656453,0.004534022112733292,0.0013787695536318868,-0.0027192262166829653,0.000434460286064926
Non-border,0.55,615,6765,0.989064506739713,0.0032120824550522374,-13847.776264059328,0.00042790007293169627,9.338195394383538,0.0046056917616243125,0.0014101111961663535,-0.0027129398782397406,0.00044294089134972933
Non-border,0.6000000000000001,615,6765,0.9773850133227863,0.004864063249148921,-13798.514973958554,0.00041141763058867705,9.056178301041786,0.004715534025588646,0.0014382331395136844,-0.0027136069916276796,0.00045088348752358765
Non-border,0.65,615,6765,0.9516889606920089,0.006745812597778154,-13774.789710458506,0.0004015779037484198,8.597433341478975,0.004882167242923342,0.0014539816124951729,-0.0027390204619208414,0.0004564095670966108
Non-border,0.7000000000000001,615,6765,0.9132983772794032,0.00753292263842115,-13768.308342739425,0.0003976754096595406,8.126485084878105,0.005093541309348412,0.0014549888960255616,-0.0027978485163245243,0.00045878173082029535
Non-border,0.75,615,6765,0.8710840544604003,0.0076351063860182625,-13771.38739782976,0.00039682179928602674,7.868653038233985,0.005323475103439827,0.0014485667325664184,-0.0028802422024526717,0.0004592301344659504
Non-border,0.8,615,6765,0.8299684981739511,0.007499673526351699,-13780.17564483027,0.00039731397385487526,7.748128669189415,0.00555929143809087,0.00143953194064884,-0.0029744958961738692,0.00045877505548545236
Non-border,0.8500000000000001,615,6765,0.7911491549615393,0.0072810757198544145,-13792.714895610345,0.00039858185246493047,7.685087737981406,0.005795303275727628,0.0014294556760247037,-0.0030739272474442857,0.00045781480897272883
Non-border,0.9,615,6765,0.7548238608480873,0.0070344910905564976,-13807.741345871455,0.0004003740616767502,7.6462490598780395,0.006027540464770043,0.0014190108622942036,-0.003174485302728661,0.0004565384483627262
Non-border,0.9500000000000001,615,6765,0.7209524862371025,0.006782740813766656,-13824.35442218052,0.00040253094760456405,7.61866605698642,0.006252969353659125,0.001408591729592961,-0.0032734854396786694,0.0004550658537845659
Non-border,1.0,615,6765,0.6894196365936689,0.006536146840861052,-13841.899003379058,0.0004049364737972501,7.596975700748908,0.00646940114925075,0.0013984430632864092,-0.0033691644169906903,0.0004534809719079434
