sample,estimator,beta,se,ci_lower,ci_upper,t_stat,p_value,hausman_chi2,hausman_p
Contig,FGLS W_bank_nonGeo,0.025975442912394533,0.011111569552293102,0.0041971667781882,0.04775371904660086,2.3376934095718247,0.019403158302558555,,
Contig,FGLS W_bank_interstate,0.022078572573479883,0.011173988706405756,0.00017795714526729414,0.04397918800169247,1.9758900025398105,0.04816723674275961,,
Contig,FGLS W_bank_intrastate,0.031705812826758197,0.0123770506114153,0.007447239393554756,0.05596438625996164,2.5616614023955,0.010417282449236561,,
NonContig,OLS (Favara-Imbs),0.017045978995967066,0.012434902137668208,-0.00732598134514275,0.04141793933707688,1.370817301756709,0.17043191603436147,,
NonContig,FGLS W_geo,0.01982174634253016,0.01539322792008824,-0.010348425986659197,0.049991918671719524,1.287692642857752,0.1978529756102032,,
NonContig,FGLS W_bank,0.014893547956973703,0.015011718714127278,-0.014528880068761693,0.0443159759827091,0.9921280994265922,0.3211350408339968,,
NonContig,FGLS W_bank_count,0.015738338798078393,0.014522585243637543,-0.012725405241864038,0.04420208283802082,1.0837146784849123,0.27849132536261256,,
NonContig,FGLS W_bank_binary,0.015341331405697736,0.012552265559842134,-0.009260657015975348,0.039943319827370816,1.2221962109197664,0.22163343642347244,,
NonContig,FGLS W_bank_knn3,0.016397636682709788,0.01559505782385292,-0.014168114988861526,0.0469633883542811,1.0514636667540476,0.2930456881389024,,
NonContig,FGLS W_bank_knn4,0.016051234755433477,0.016284407036090413,-0.01586561654489438,0.04796808605576133,0.985681254457705,0.3242895510334385,,
NonContig,FGLS W_bank_count_knn3,0.02053307411201116,0.016385320368355574,-0.011581563685116338,0.05264771190913865,1.2531383976883361,0.21015534409956338,,
NonContig,FGLS W_bank_count_knn4,0.019518398295670397,0.01573473076055616,-0.011321107301454206,0.050357903892795,1.240465985258492,0.21480308784801738,,
NonContig,FGLS W_bank_binary_knn3,0.020357295894079835,0.016289112511922266,-0.011568777969408577,0.05228336975756825,1.2497486206925024,0.21139139016280462,,
NonContig,FGLS W_bank_binary_knn4,0.018832803293993686,0.015574365723116169,-0.011692392605369122,0.0493579991933565,1.2092179950571726,0.2265791060483453,,
NonContig,FGLS W_bank_nonGeo,0.014968885166262448,0.014136200955219263,-0.012737559584188018,0.04267532991671291,1.0589043841185455,0.289643327455417,,
NonContig,FGLS W_bank_interstate,0.016483763932756856,0.01248326704413424,-0.007982989883142031,0.04095051774865574,1.3204687422354238,0.18667856551510487,,
NonContig,FGLS W_bank_intrastate,0.017889956897356715,0.018641107510555165,-0.018645942455270514,0.054425856249983945,0.9597046145046304,0.33720390018856616,,
