sample,w_matrix,n_counties,n_obs,rho,rho_se,beta_D,beta_D_se,multiplier,point_direct,point_indirect,point_total,n_boot_draws,mean_M,p5_M,p95_M,mean_direct,p5_dir,p95_dir,mean_indirect,p5_int,p95_int,mean_total,p5_tot,p95_tot
Contig,W_bank_knn3,238,2618,0.1579628859257799,0.0207713665278122,0.0354150455992259,0.0063874922904562,1.1875961086340625,0.0354150455992259,0.0066437247415126605,0.04205877034073856,1000,1.1868778516653304,1.1436986093082613,1.2336719695007745,0.035253845962565436,0.025090346624448485,0.04567269059878671,0.006581631971606673,0.004188571396602588,0.009274787842972443,0.04183547793417211,0.029859462608521226,0.05422019119931925
Contig,W_bank_knn4,238,2618,0.1373516582621569,0.0219980896185962,0.0345975368079522,0.0064045490467328,1.1592209149622381,0.0345975368079522,0.0055086514660018585,0.04010618827395406,1000,1.1585195773243597,1.114981126385859,1.2057749532509814,0.03443590671395585,0.024245267408658556,0.04488257317532583,0.005452156092517738,0.003236249800876745,0.00790029118640105,0.039888062806473584,0.028168797336877525,0.05201478621079104
Contig,W_bank_count_knn3,238,2618,0.1660897455193608,0.0204532345520558,0.0351846277538418,0.0063820258106052,1.1991698082940614,0.0351846277538418,0.007007715564630583,0.04219234331847238,1000,1.1984447508127205,1.1550887129618896,1.2454183309043125,0.03502356607344424,0.024868764759813446,0.04543349415811685,0.006943691751193999,0.0044608727267889696,0.009720207584519875,0.041967257824638254,0.02989333902505674,0.054456996442496304
Contig,W_bank_count_knn4,238,2618,0.1477023428756406,0.021636275153289,0.0345713687924997,0.0063990023235025,1.173299013133494,0.0345713687924997,0.005991184094414272,0.040562552886913975,1000,1.1725890998392576,1.1287159192678673,1.2201977725780961,0.0344098786798495,0.02422806507880615,0.04484749770210743,0.005932116540287575,0.0036458671140376635,0.008500359397502716,0.04034199522013708,0.02849334533294262,0.05260325328498521
Contig,W_bank_binary_knn3,238,2618,0.1623310295324351,0.0210595059928467,0.0354418570470922,0.0063880716382588,1.193788996913454,0.0354418570470922,0.0068682419259060296,0.04231009897299823,1000,1.193066659675177,1.1488489984585282,1.2410276080031786,0.03528064278956786,0.025116221618477888,0.045700432418670715,0.006804823516077661,0.004338050644504751,0.009577269441996798,0.04208546630564552,0.030037827482732687,0.05454534370595385
Contig,W_bank_binary_knn4,238,2618,0.1363672312631462,0.0225264024934524,0.0345248122817218,0.0064080307327295,1.1578995566166352,0.0345248122817218,0.005451452551556435,0.039976264833278236,1000,1.1571997584176952,1.1127398891909557,1.205506718130843,0.034363094321236985,0.024166915108928634,0.04481543987290127,0.005395112739522572,0.0031752124606859882,0.007850335426803374,0.039758207060759554,0.028034380164772218,0.05188742682417257
Contig,W_bank_nonGeo,236,2596,0.20523141515946,0.0580605071727327,0.0298883785313011,0.0063532656873539,1.2582278905760185,0.0298883785313011,0.007718012940875443,0.037606391472176544,1000,1.2602394886375459,1.1298062001694753,1.4147030300583068,0.029728042663351942,0.019619003204348423,0.04009105918363463,0.007715503234996205,0.003382248576574077,0.013422201693610114,0.03744354589834815,0.024165625556803027,0.05092039920573462
Contig,W_bank_interstate,233,2563,0.2993600236217856,0.0582064258969196,0.0257294515970247,0.0061654687899923,1.4272665473204276,0.0257294515970247,0.010993333948308807,0.03672278554533351,1000,1.431023970684875,1.263893375181417,1.632619488612659,0.025573855115088723,0.015763629894168407,0.03563055006067481,0.010996553979753217,0.0051350992267138965,0.01819293903762165,0.03657040909484194,0.021901711079506656,0.05171600141150095
Contig,W_bank_intrastate,238,2618,0.1416280198324407,0.0273003431063268,0.0340818712156457,0.006461964675283,1.1649960892302123,0.0340818712156457,0.00562337546422928,0.03970524667987498,1000,1.1643393536972049,1.1100629372262092,1.2239333957190568,0.03391879213697115,0.02363679558594546,0.044459111081405475,0.005565817207407798,0.0031252793262352115,0.008397614159688612,0.03948460934437895,0.027476742496760822,0.051864209945211855
NonContig,W_geo,639,7029,0.1860509147422392,0.0119634783225595,0.0188230796609673,0.0048666823029249,1.228578074614238,0.0188230796609673,0.004302543307214329,0.02312562296818163,1000,1.2279639909994746,1.201109433762909,1.2565406188837471,0.018700260347330626,0.010956607577916472,0.026638462775188377,0.004259925419350617,0.0024182860932416973,0.006100806353371555,0.022960185766681244,0.013587252958421111,0.03259824942286768
NonContig,W_bank,639,7029,0.6293858749596302,0.0386001210888394,0.0181470173156192,0.0049149888089288,2.698224197178327,0.0181470173156192,0.030817703911998617,0.048964721227617816,1000,2.713031024302943,2.3219430002776518,3.2033658423003826,0.018022978902081956,0.010202462925720227,0.02603997562950001,0.03082300834701545,0.016411386336084615,0.0481228762018557,0.0488459872490974,0.02659837307326548,0.07238139900472446
NonContig,W_bank_count,639,7029,0.6562275355417437,0.0339602903326893,0.0199275619489141,0.0049072367480739,2.9089008090740447,0.0199275619489141,0.038039739127155275,0.05796730107606937,1000,2.922489121378428,2.5213507244004814,3.4204999809772847,0.01980371917230859,0.01199553793731094,0.02780807126330518,0.03802075389258283,0.021693397175938635,0.05726988983691569,0.05782447306489142,0.03386930377693939,0.08324099905839642
NonContig,W_bank_binary,639,7029,0.4330747378910459,0.064224283629285,0.0202028194172244,0.0049615725334193,1.7639009351603312,0.0202028194172244,0.015432952645693016,0.03563577206291742,1000,1.7762881926063858,1.4995770039891392,2.129079495354511,0.020077605381217386,0.012182967412765955,0.02817058632371907,0.015549074706629274,0.0076028877631467585,0.025533866937439347,0.03562668008784666,0.020755569484042155,0.05192044217309047
NonContig,W_bank_knn3,639,7029,0.2215682685713177,0.0131308980940151,0.0167134463568372,0.0048715798534438,1.2846341684513116,0.0167134463568372,0.004757217905733961,0.02147066426257116,1000,1.2839420297215092,1.251779573075537,1.3183030812074128,0.016590503444872992,0.008839057906529542,0.02453669442530101,0.004707063380419211,0.0024499937910094295,0.006978820584017242,0.021297566825292207,0.01150552024372081,0.03137584646671646
NonContig,W_bank_knn4,639,7029,0.258291299628013,0.0141592552703751,0.0157467886202773,0.0048582176184855,1.3482381958017655,0.0157467886202773,0.005483633258797138,0.021230421879074438,1000,1.347470543856028,1.3093465774581574,1.3883665268717407,0.015624182927885711,0.007893998795424082,0.023548578336015157,0.005424585084565362,0.002713867802034581,0.008206472492160279,0.02104876801245107,0.010796877695223153,0.0315855827241737
NonContig,W_bank_count_knn3,639,7029,0.2291176872864203,0.0127319168664331,0.017319973538483,0.0048688053828829,1.2972148712037561,0.017319973538483,0.005147753704492688,0.022467727242975688,1000,1.2965233672237864,1.2647141897327148,1.3304850894631657,0.017197100645178078,0.009450069723467737,0.0251387660972129,0.005095708217472408,0.002737927664508887,0.007471451150405373,0.02229280886265049,0.012399694659770845,0.032463719289414245
NonContig,W_bank_count_knn4,639,7029,0.2473538896153211,0.0137557403941618,0.0168876480631564,0.0048711458523845,1.32864567583947,0.0168876480631564,0.005550052511055153,0.02243770057421155,1000,1.327902615696657,1.2919073896788194,1.3664576409200433,0.016764716103974585,0.00901396112920105,0.024710199171280648,0.005493072125815795,0.0028956109211240224,0.008119291656053589,0.02225778822979038,0.012106661055986935,0.0326692154664021
NonContig,W_bank_binary_knn3,639,7029,0.2187854990230982,0.0134320780518634,0.0165027656540759,0.0048786403327632,1.2800581642423545,0.0165027656540759,0.004621734254002276,0.021124499908078177,1000,1.2793620035446835,1.2467054538649667,1.314271702756862,0.016379644558460086,0.008616964693149739,0.02433735211436734,0.00457210923320169,0.002344284144026998,0.00680799565520793,0.02095175379166178,0.011182194490601463,0.031007487511485545
NonContig,W_bank_binary_knn4,639,7029,0.2585246672387491,0.0145907426093823,0.0154888756771564,0.0048649654771684,1.3486625324081982,0.0154888756771564,0.005400390617753097,0.020889266294909496,1000,1.3478858391522417,1.3085961003943287,1.3900777262719106,0.015366099690646484,0.007625178659549405,0.023301501748654686,0.005341147780496695,0.002624457402438206,0.008126726541447643,0.02070724747114318,0.010439224995296714,0.031259370218032934
NonContig,W_bank_nonGeo,634,6974,0.5287328792518106,0.0481627804301781,0.0162084687722427,0.0049456701231428,2.121938824020627,0.0162084687722427,0.01818491039350503,0.03439337916574773,1000,2.1329371920768145,1.8308118830834743,2.5103784653553993,0.01608365606161379,0.008214321315298713,0.0241506980699488,0.018182322610483744,0.008561871384568837,0.02970864072410555,0.03426597867209753,0.016806718321056117,0.05245046938162161
NonContig,W_bank_interstate,620,6820,0.1595859646672557,0.0791600014054729,0.0164358568940189,0.0049440462507535,1.1898896947908193,0.0164358568940189,0.003120999849230831,0.01955685674324973,1000,1.19467446458662,1.0377936933824161,1.3878057956818095,0.01631108516467454,0.008444334253329959,0.02437547842239447,0.0031551389261420195,0.00043619533880185545,0.007071727055204689,0.01946622409081656,0.009743996454259659,0.02937587468561932
