sample,panel,panel_label,outcome_key,outcome,beta,se,tval,pval,test_vs_A_pval,N,n_counties,n_states,R2_within
Contig,A,OOS with local branches,nbra,Dl_nbra_oos_lb,0.10330613996958499,0.0388129239168819,2.661642812348167,0.007882191436668462,,1423,230,33,0.1779780822136101
Contig,B,OOS without local branches,nloans,Dl_nloans_b_oos,0.012712255184810705,0.00913338592709381,1.3918447426052947,0.16410146881940335,0.0587022591408737,2630,267,35,0.14395057725725158
Contig,B,OOS without local branches,vloans,Dl_vloans_b_oos,0.01273785254370894,0.010297588326751482,1.2369743419066428,0.21622052052779206,0.04416736009995216,2630,267,35,0.1268533537529123
Contig,B,OOS without local branches,nden,Dl_nden_b_oos,-0.011184316054641149,0.022418479149898238,-0.49888825998671354,0.6179052610697795,0.3714669947750836,2613,267,35,0.448261097218829
Contig,B,OOS without local branches,lir,Dl_lir_b_oos,0.012864315854649984,0.010535288291663041,1.2210691818305521,0.22218263302859675,0.04071556078494093,2630,267,35,0.11516471818052187
Contig,B,OOS without local branches,nsold,Dl_nsold_b_oos,0.016815754669349862,0.010363590107071026,1.6225800611196073,0.10481625484187562,0.4540884886295249,2586,267,35,0.1599305266361153
Contig,C,In-state banks,nloans,Dl_nloans_b_is,0.030342741736281348,0.01794868811828803,1.690526992073863,0.09106279476082135,0.10814400986730682,2583,266,35,0.07654092248886857
Contig,C,In-state banks,vloans,Dl_vloans_b_is,0.02619471620432196,0.019759679338736295,1.325665045230294,0.18508243577140782,0.061952181305741934,2583,266,35,0.10400728661593006
Contig,C,In-state banks,nden,Dl_nden_b_is,0.0028352337976744876,0.0283626219336934,0.0999637411626733,0.9203822611682146,0.4401131141046809,2473,264,35,0.14192848159355287
Contig,C,In-state banks,lir,Dl_lir_b_is,0.02688390483691698,0.019790177344017935,1.3584468885541998,0.17445526024416225,0.05863413287855625,2583,266,35,0.10554367558049849
Contig,C,In-state banks,nsold,Dl_nsold_b_is,-0.02978459547852883,0.02966861418382265,-1.0039092252165058,0.315540046522367,0.2370767976706496,2345,262,35,0.1642201738816892
Contig,C,In-state banks,nbra,Dl_nbra_is,-0.007867714082075572,0.010388815322795925,-0.7573254348656712,0.44893805964923295,0.013313316258340696,2424,259,35,0.06119078389814059
NonContig,A,OOS with local branches,nloans,Dl_nloans_b_oos_lb,0.1954778208039001,0.07699687071729025,2.538776173406279,0.011181830536246995,,3166,542,47,0.18644315303434078
NonContig,A,OOS with local branches,vloans,Dl_vloans_b_oos_lb,0.17992728583051285,0.07560935210616192,2.3796961727416965,0.01739850999411474,,3166,542,47,0.167107421451979
NonContig,A,OOS with local branches,nden,Dl_nden_b_oos_lb,0.08928935797095176,0.06479237712994586,1.3780843044525966,0.16830713057204605,,2916,523,47,0.24178647112693663
NonContig,A,OOS with local branches,lir,Dl_lir_b_oos_lb,0.17773014897000733,0.07544302837868104,2.3558193883456426,0.018555650103687427,,3165,542,47,0.16158010658458555
NonContig,A,OOS with local branches,nsold,Dl_nsold_b_oos_lb,0.028452096959760764,0.09720198823909257,0.29271105946697024,0.769774318616609,,2459,501,46,0.29226258028771235
NonContig,A,OOS with local branches,nbra,Dl_nbra_oos_lb,0.07433907208483424,0.03141917223022025,2.366041713006426,0.018047616633435792,,3360,560,47,0.10295581840076973
NonContig,B,OOS without local branches,nloans,Dl_nloans_b_oos,0.016289591618574992,0.013555633089593759,1.2016843116740898,0.22952905713671679,0.02251459863842911,7358,751,49,0.1756085794653086
NonContig,B,OOS without local branches,vloans,Dl_vloans_b_oos,0.014505795583865635,0.013400016160405735,1.082520752976944,0.27906081871287025,0.03130161791869386,7358,751,49,0.13018051268489061
NonContig,B,OOS without local branches,nden,Dl_nden_b_oos,0.019176908207158158,0.027404159201798544,0.699780937117734,0.4840889993441948,0.3190798506010303,7313,751,49,0.4927607024546138
NonContig,B,OOS without local branches,lir,Dl_lir_b_oos,0.013872650009876761,0.013717351051994441,1.0113213518625916,0.311899796554157,0.032983731690768556,7357,751,49,0.11876302087189483
NonContig,B,OOS without local branches,nsold,Dl_nsold_b_oos,0.0069253726587743866,0.01548843707831506,0.4471317941091947,0.6547949973274583,0.8217254135573656,7185,750,49,0.2038662769151629
NonContig,C,In-state banks,nloans,Dl_nloans_b_is,-0.005140976875467043,0.010964737278023655,-0.46886457423571587,0.6391821928339319,0.012548479885830938,7258,751,49,0.05589604180858232
NonContig,C,In-state banks,vloans,Dl_vloans_b_is,-0.012010807426156268,0.011962131008685787,-1.0040692095275614,0.31538270048290773,0.015665960902981516,7258,751,49,0.07207334259629494
NonContig,C,In-state banks,nden,Dl_nden_b_is,0.005152910050379336,0.015508506170852842,0.3322634684225017,0.739701727545212,0.21142874896652408,6866,741,49,0.09763337962257679
NonContig,C,In-state banks,lir,Dl_lir_b_is,-0.01268250458340245,0.01201676544024681,-1.055400860278585,0.29128133397640243,0.016584436623236547,7257,751,49,0.07915223313795017
NonContig,C,In-state banks,nsold,Dl_nsold_b_is,-0.022530697474289152,0.02107930808739607,-1.0688537489406926,0.2851780997534237,0.6206705594368307,6830,744,49,0.11092421261238583
NonContig,C,In-state banks,nbra,Dl_nbra_is,0.006273599953450903,0.007159748268867257,0.8762319173608947,0.38093990316622905,0.02666037425703126,6595,719,49,0.0524449183633694
